relationship,midd_find_relationship,midd_find_hookup,midd_goes_relationship,midd_goes_hookup,midd_lookingfor_relationship,midd_lookingfor_hookup,midd_opps_newpeople,mrtl_potential_date,find_partner,gender,gpa,class,siblings,parents_married,race,housing,year
No,4,4,2,3,2,4,4,3,Job/Career,Female,3.97,Middle Class,2,Yes,White,Dorm (on campus),Sophomore
No,4,5,5,5,2,2,4,3,Friends,Male,4,Upper Middle Class,4,Yes,White,Dorm (on campus),First Year
No,4,4,3,2,3,2,5,4,Friends,Male,3.81,Upper Class,1,Yes,White,Dorm (on campus),First Year
No,3,3,4,4,2,2,4,5,Friends,Male,3,Upper Middle Class,1,Yes,Hispanic/Latino,Dorm (on campus),Senior
No,4,4,4,4,2,3,4,2,Friends,Male,3.79,Upper Class,1,Yes,White,Dorm (on campus),Senior
No,3,4,3,2,2,3,2,2,Job/Career,Male,3.2,Middle Class,3,Yes,African/African American,Dorm (on campus),Sophomore
Yes,4,3,4,4,3,3,4,4,Middlebury,Male,3.87,Middle Class,2,Yes,White,Dorm (on campus),Junior
No,3,4,5,3,2,2,4,3,Graduate School,Male,3.7,Middle Class,0,Yes,White,Dorm (on campus),First Year
No,4,4,4,4,1,1,1,1,Friends,Male,3.5,Middle Class,1,No,White,Dorm (on campus),Sophomore
No,3,4,4,4,5,4,3,3,Friends,Female,3.8,Upper Middle Class,2,Yes,White,Dorm (on campus),Sophomore
No,4,4,5,3,3,1,2,2,Friends,Female,3.9,Middle Class,2,Yes,White,Dorm (on campus),Junior
No,3,4,2,3,4,5,3,2,Job/Career,Male,3.8,Upper Class,2,Yes,White,Dorm (on campus),First Year
No,3,4,3,3,3,2,4,3,Friends,Female,3.85,Middle Class,2,Yes,White,Dorm (on campus),Sophomore
Yes,3,4,5,3,1,1,3,4,Middlebury,Female,3.92,Middle Class,1,Yes,Asian/Asian American,Dorm (on campus),Sophomore
No,3,4,3,1,5,1,3,4,Job/Career,Female,3.8,Upper Middle Class,1,Yes,African/African American,Dorm (on campus),First Year
